EVENT,BOUT,URL
UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev vs. Alexander Volkanovski,http://ufcstats.com/fight-details/0ea435ddf02deb60
UFC 294: Makhachev vs. Volkanovski 2,Khamzat Chimaev vs. Kamaru Usman,http://ufcstats.com/fight-details/f23e9729b2b73c27
UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev vs. Johnny Walker,http://ufcstats.com/fight-details/821960adf5bfa15c
UFC 294: Makhachev vs. Volkanovski 2,Ikram Aliskerov vs. Warlley Alves,http://ufcstats.com/fight-details/7024385b5107bd4b
UFC 294: Makhachev vs. Volkanovski 2,Said Nurmagomedov vs. Muin Gafurov,http://ufcstats.com/fight-details/ed3334d108b257a6
UFC 294: Makhachev vs. Volkanovski 2,Muhammad Mokaev vs. Tim Elliott,http://ufcstats.com/fight-details/e9256316716499b8
UFC 294: Makhachev vs. Volkanovski 2,Trevor Peek vs. Mohammad Yahya,http://ufcstats.com/fight-details/3c6fb6bf9b7afd40
UFC 294: Makhachev vs. Volkanovski 2,Javid Basharat vs. Victor Henry,http://ufcstats.com/fight-details/0d1af8c6a5793185
UFC 294: Makhachev vs. Volkanovski 2,Sedriques Dumas vs. Abu Azaitar,http://ufcstats.com/fight-details/43de9ff6064361e1
UFC 294: Makhachev vs. Volkanovski 2,Mike Breeden vs. Anshul Jubli,http://ufcstats.com/fight-details/75c5f923f966b53b
UFC 294: Makhachev vs. Volkanovski 2,Muhammad Naimov vs. Nathaniel Wood,http://ufcstats.com/fight-details/b84c447bb74febe2
UFC 294: Makhachev vs. Volkanovski 2,Viktoriia Dudakova vs. Jinh Yu Frey,http://ufcstats.com/fight-details/18e5af00a8478a0e
UFC 294: Makhachev vs. Volkanovski 2,Shara Magomedov vs. Bruno Silva,http://ufcstats.com/fight-details/539732694ab2c8d6
