EVENT,BOUT,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
UFC Fight Night: Holloway vs. The Korean Zombie ,Max Holloway  vs. Chan Sung Jung ,W/L,Featherweight Bout,KO/TKO ,3,0:23,5 Rnd (5-5-5-5-5),,Punch to Head At Distance ,http://ufcstats.com/fight-details/96704d7ba3a452d9
UFC Fight Night: Holloway vs. The Korean Zombie ,Anthony Smith  vs. Ryan Spann ,W/L,Light Heavyweight Bout,Decision - Split ,3,5:00,3 Rnd (5-5-5),Mark Craig,Mark Collett 28 - 29.Vito Paolillo 29 - 28.Luke Hill 28 - 29.,http://ufcstats.com/fight-details/c53b0f678fe2f16a
UFC Fight Night: Holloway vs. The Korean Zombie ,Giga Chikadze  vs. Alex Caceres ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Howie Booth 27 - 30.Ben Cartlidge 27 - 30.David Lethaby 27 - 30.,http://ufcstats.com/fight-details/dd617f6ab4916ec4
UFC Fight Night: Holloway vs. The Korean Zombie ,Rinya Nakamura  vs. Fernie Garcia ,W/L,Bantamweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Kevin Sataki,Mark Collett 26 - 30.Vito Paolillo 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/de89bea7b0dcd2d3
UFC Fight Night: Holloway vs. The Korean Zombie ,Erin Blanchfield  vs. Taila Santos ,W/L,Women's Flyweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Thomas Fan,Howie Booth 28 - 29.Ben Cartlidge 28 - 29.Luke Hill 28 - 29.,http://ufcstats.com/fight-details/5531317352862978
UFC Fight Night: Holloway vs. The Korean Zombie ,Junior Tafa  vs. Parker Porter ,W/L,Heavyweight Bout,KO/TKO ,1,1:24,3 Rnd (5-5-5),Marc Goddard,Punch to Head At Distance ,http://ufcstats.com/fight-details/f7bc845ce74f5fe7
UFC Fight Night: Holloway vs. The Korean Zombie ,Waldo Cortes-Acosta  vs. Lukasz Brzeski ,W/L,Heavyweight Bout,KO/TKO ,1,3:01,3 Rnd (5-5-5),Mark Craig,Punches to Head At Distance ,http://ufcstats.com/fight-details/bfc9989751bd0d04
UFC Fight Night: Holloway vs. The Korean Zombie ,Toshiomi Kazama  vs. Garrett Armfield ,L/W,Bantamweight Bout,KO/TKO ,1,4:16,3 Rnd (5-5-5),Kevin Sataki,Punches to Head At Distance ,http://ufcstats.com/fight-details/48231fbd1af53674
UFC Fight Night: Holloway vs. The Korean Zombie ,Chidi Njokuani  vs. Michal Oleksiejczuk ,L/W,Middleweight Bout,KO/TKO ,1,4:16,3 Rnd (5-5-5),Thomas Fan,Punches to Head On Ground ,http://ufcstats.com/fight-details/293c5f4c9aca5c54
UFC Fight Night: Holloway vs. The Korean Zombie ,Song Kenan  vs. Rolando Bedoya ,W/L,Welterweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.Luke Hill 28 - 29.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/da6b863cf684e0ae
UFC Fight Night: Holloway vs. The Korean Zombie ,Billy Goff  vs. Yusaku Kinoshita ,W/L,Welterweight Bout,KO/TKO ,1,3:49,3 Rnd (5-5-5),Mark Craig,Punch to Body At Distance ,http://ufcstats.com/fight-details/977250a28d3b8a3f
UFC Fight Night: Holloway vs. The Korean Zombie ,Liang Na  vs. JJ Aldrich ,L/W,Women's Flyweight Bout,KO/TKO ,2,4:49,3 Rnd (5-5-5),Kevin Sataki,Elbows to Head From Back Control ,http://ufcstats.com/fight-details/23865dfc8361ac62
UFC Fight Night: Holloway vs. The Korean Zombie ,SeungWoo Choi  vs. Jarno Errens ,W/L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Thomas Fan,Ben Cartlidge 27 - 30.Mark Collett 28 - 29.Vito Paolillo 28 - 29.,http://ufcstats.com/fight-details/b65b37c0e00074d9
UFC 294: Makhachev vs. Volkanovski 2,Islam Makhachev  vs. Alexander Volkanovski ,W/L,UFC Lightweight Title Bout,KO/TKO ,1,3:06,5 Rnd (5-5-5-5-5),Marc Goddard,Kick to Head At Distance ,http://ufcstats.com/fight-details/0ea435ddf02deb60
UFC 294: Makhachev vs. Volkanovski 2,Kamaru Usman  vs. Khamzat Chimaev ,L/W,Middleweight Bout,Decision - Majority ,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 27 - 29.David Lethaby 28 - 28.Vito Paolillo 27 - 29.,http://ufcstats.com/fight-details/f23e9729b2b73c27
UFC 294: Makhachev vs. Volkanovski 2,Magomed Ankalaev  vs. Johnny Walker ,NC/NC,Light Heavyweight Bout,Could Not Continue ,1,3:13,3 Rnd (5-5-5),Daniel Movahedi,Knee to head of grounded opponent ,http://ufcstats.com/fight-details/821960adf5bfa15c
